timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-10-21T04:14:33.950195Z,KXMVENFLSINGLEGAME-S202561858BB86F6-41095AF316C,"yes Sam Darnold: 250+,yes Cooper Kupp: 40+,yes Jaxon Smith-Njigba: 80+,yes Woody Marks: 20+,yes Zach Charbonnet: 50+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,1173.0
2025-10-21T04:14:34.095704Z,KXMVENFLSINGLEGAME-S2025C15B9585F8E-033108169CD,"yes Dalton Schultz: 30+,yes Zach Charbonnet: 40+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,1034.0
2025-10-21T04:14:34.232169Z,KXMVENFLSINGLEGAME-S2025ED59EFC8675-FF3AB37EE62,"yes Nico Collins: 70+,yes AJ Barner: 10+,yes Cooper Kupp: 60+,yes Elijah Arroyo: 40+,yes Jaxon Smith-Njigba: 90+,yes Nick Chubb: 20+,yes Zach Charbonnet: 40+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,934.0
2025-10-21T04:14:34.366282Z,KXMVENFLSINGLEGAME-S2025F8B2F43D386-C24DEEE9E3A,"yes Dalton Schultz,yes Houston,yes C.J. Stroud: 200+,yes Sam Darnold: 200+,no Over 49.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,934.0
2025-10-21T04:14:34.501971Z,KXMVENFLSINGLEGAME-S20259CCA6B636B7-4C5DAE016E0,"no Seattle wins by over 14.5 points,yes Over 40.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,853.0
2025-10-21T04:14:34.626501Z,KXMVENFLSINGLEGAME-S202544747F6E32B-821A9403644,"yes AJ Barner,yes Kenneth Walker III,yes Seattle wins by over 6.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,847.0
2025-10-21T04:14:34.760159Z,KXMVENFLSINGLEGAME-S2025984C39B2928-6A8632C67D8,"yes Nick Chubb,yes Kenneth Walker III,yes Sam Darnold: 200+,yes Nick Chubb: 40+,yes Kenneth Walker III: 60+,yes Seattle wins by over 5.5 points",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,847.0
2025-10-21T04:14:34.886817Z,KXMVENFLSINGLEGAME-S20254C39FD9B562-BB1EA2414A3,"yes Nick Chubb,yes Sam Darnold: 250+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,769.0
2025-10-21T04:14:35.021082Z,KXMVENFLSINGLEGAME-S2025C2A2EB2860D-34570A53399,"yes Cooper Kupp,yes Elijah Arroyo,yes Sam Darnold: 275+",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,769.0
2025-10-21T04:14:35.162171Z,KXMVENFLSINGLEGAME-S2025185BF0B071C-0C9C7877ED7,"yes Cooper Kupp,yes Seattle,no Over 44.5 points scored",active,binary,0.0,,1.0,,0.0,,1.0,,1.0,1.0,0,0,0.0,756.0
